2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 找到 2 个活跃项目
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.factory | 创建向量管理器: api
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 为项目 1 (InvenTree) 构建 API 向量索引...
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.api_strategy | 从数据库加载 API 数据: 644 条记录
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.api_strategy | 开始构建 API 向量索引: 644 条记录
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.api_strategy | API schema_hash 计算: 0125252f2d68fe710bd78bd9edfa9261
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.base | 加载向量模型: sentence-transformers/all-MiniLM-L6-v2
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.base | 模型缓存目录: D:\code\BugSeek\backend\data\api_vectors\models
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.base | 使用 Hugging Face 镜像: https://hf-mirror.com
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-03-17 17:36:52 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:53 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-17 17:36:53 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:54 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-17 17:36:54 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:55 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-17 17:36:55 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:56 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md "HTTP/1.1 200 OK"
2026-03-17 17:36:56 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:57 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-17 17:36:58 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:36:58 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-03-17 17:36:59 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-03-17 17:37:00 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:37:01 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-17 17:37:01 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:37:02 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-17 17:37:02 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:37:03 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json "HTTP/1.1 200 OK"
2026-03-17 17:37:03 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-03-17 17:37:03 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-03-17 17:37:04 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:37:04 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-03-17 17:37:05 | INFO | [4767a5ec57bb493f9865730edcb7a597] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-03-17 17:37:05 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.base | 向量模型加载完成
2026-03-17 17:37:09 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.api_strategy | API 向量索引构建完成: shape=(644, 384)
2026-03-17 17:37:09 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.base | 向量索引缓存保存成功: D:\code\BugSeek\backend\data\api_vectors\api_embeddings.pkl
